ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
286,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,0,0,0,0,0,0,28,28,27,7,27,1
287,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,0,0,0,0,0,0,28,28,28,7,28,0
288,usuario,0x558,1,00,00,00,-,1,7,Teclado,0x22,0,0,0,0,0,0,0,28,28,28,7,28,0
289,usuario,0x558,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,28,28,28,7,28,0
290,usuario,0x55C,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,28,28,28,7,28,0
291,usuario,0x560,1,00,00,00,-,0,0,-,0x0,3,0,0,29,4,0,0,28,28,28,7,28,0
292,usuario,0x564,1,00,00,00,-,0,0,-,0x0,2,0,0,29,3,0,0,28,28,28,7,28,0
293,usuario,0x568,1,00,00,00,-,0,0,-,0x0,4,0,0,29,3,1,0,28,28,28,7,28,0
294,usuario,0x56C,1,00,00,00,-,0,0,-,0x0,3,30,6,29,2,0,0,28,28,28,7,28,0
295,usuario,0x570,1,00,00,00,-,0,0,-,0x0,2,30,5,29,2,0,0,28,28,28,7,28,0
296,usuario,0x574,1,00,00,00,-,0,0,-,0x0,4,30,5,29,1,0,1,28,28,28,7,28,0
297,usuario,0x578,1,00,00,00,-,0,0,-,0x0,3,30,4,29,1,0,1,28,28,28,7,28,0
298,usuario,0x57C,1,01,00,00,-,0,0,-,0x0,2,30,4,0,0,0,1,28,28,28,7,28,1
299,kernel,0x580,0,00,00,01,Teclado,1,1,Teclado,0x22,4,30,3,31,4,1,0,29,29,28,7,28,1
300,kernel,0x580,0,00,00,01,Teclado,1,2,Teclado,0x22,3,30,3,31,3,1,0,29,29,28,7,28,1
301,kernel,0x580,0,00,00,01,Teclado,1,3,Teclado,0x22,2,30,2,31,3,1,0,29,29,28,7,28,1
302,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,30,2,31,2,1,0,29,29,28,7,28,1
303,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,30,1,31,2,1,0,29,29,28,7,28,1
304,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,30,1,31,1,1,0,29,29,29,7,29,0
305,usuario,0x580,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,31,1,1,0,29,29,29,7,29,1
306,usuario,0x580,1,11,00,00,-,0,0,-,0x0,0,32,6,0,0,0,0,29,29,29,7,29,2
307,kernel,0x584,0,01,00,10,Disco,1,1,Disco,0x21,0,32,5,0,0,0,0,30,30,29,7,29,2
308,kernel,0x584,0,01,00,10,Disco,1,2,Disco,0x21,0,32,5,0,0,0,0,30,30,29,7,29,2
309,kernel,0x584,0,01,00,10,Disco,1,3,Disco,0x21,0,32,4,0,0,0,0,30,30,29,7,29,2
